grant_no,unit_sector,country,beneficiary,address,project,eur,year,project_clean,unit_sector_long
2024/332,OSD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/DMD/01 Human resources and Light technical equipment,1971962,2024,Technical Equipment & Human Resources,NA
2024/341,OSD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2024/DMD/01 Human resources and Light technical equipment,2256042,2024,Technical Equipment & Human Resources,NA
2024/351,OSD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,502881,2024,Technical Equipment,NA
2024/354,OSD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2024/FOU/01/Heavy Technical Equipment,542807,2024,Technical Equipment,NA
2024/358,OMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,25661,2024,Light TE,NA
2023/77,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,703360,2023,Technical Equipment,Field Operations Unit
2023/99,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,2657738,2023,Technical Equipment,Field Operations Unit
2023/102,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",487413.75,2023,Human Resources,Deployment Management Division
2023/127,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/DMD/01 Human resources and Light technical equipment,761378,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/140,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2023/DMD/01 Human resources and Light technical equipment,1120928,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/151,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/SAMD/FSC/01,76062,2023,2023/SAMD/FSC/01,Frontex Situation Centre
2023/162,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2023/DMD/01 Human resources and Light technical equipment,1304271,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/168,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/DMD/01 Human resources and Light technical equipment,1106898,2023,Technical Equipment & Human Resources,Deployment Management Division
2023/234,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",973852.6699999999,2023,Human Resources,Deployment Management Division
2023/236,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",1072310.25,2023,Human Resources,Deployment Management Division
2023/246,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,781600,2023,Technical Equipment,Field Operations Unit
2023/319,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1382659,2023,Technical Equipment,Field Operations Unit
2023/369,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1815909,2023,Technical Equipment,Field Operations Unit
2023/423,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,913524,2023,Technical Equipment,Field Operations Unit
2023/456,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,407282,2023,Technical Equipment,Field Operations Unit
2023/478,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2023/FOU/01/Heavy Technical Equipment,1581763,2023,Technical Equipment,Field Operations Unit
2023/479,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",HR Light TE,17452,2023,Light TE,Frontex Situation Centre
2022/31,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/Heavy Technical Equipment,411860,2022,Technical Equipment,Field Operations Unit
2022/57,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/DMD/01 Human resources and Light technical equipment,569504,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/65,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2022/DMD/01 Human resources and Light technical equipment,467970,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/74,DMD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/DMD/01 Human resources and Light technical equipment,1504444,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/85,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2022/DMD/01 Human resources and Light technical equipment,1709910,2022,Technical Equipment & Human Resources,Deployment Management Division
2022/93,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,805116,2022,Technical Equipment,Field Operations Unit
2022/178,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,2502288,2022,Technical Equipment,Field Operations Unit
2022/211,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 1 of the standing corps",347275.8,2022,Human Resources,Deployment Management Division
2022/230,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 2 of the standing corps",723491.25,2022,Human Resources,Deployment Management Division
2022/249,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member States’ contributions to the standing corps, in relation to category 3 of the standing corps",621044.89,2022,Human Resources,Deployment Management Division
2022/303,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,2327452,2022,Technical Equipment,Field Operations Unit
2022/375,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,710611,2022,Technical Equipment,Field Operations Unit
2022/392,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,1176317,2022,Technical Equipment,Field Operations Unit
2022/416,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,679715,2022,Technical Equipment,Field Operations Unit
2022/417,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2022/FOU/01/Heavy Technical Equipment,997279,2022,Technical Equipment,Field Operations Unit
2021/46,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2021/FDU/01 Human Resources and light technical equipment,302151,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/50,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01 Human Resources and light technical equipment,232980,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/68,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2021/FDU/01 Human Resources and light technical equipment,1359796,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/79,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01 Human Resources and light technical equipment,1500000,2021,Technical Equipment & Human Resources,Field Deployment Unit
2021/81,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2021/FSC/01 Human resources and Light technical equipment,68758,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/84,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,995389,2021,Technical Equipment,Field Deployment Unit
2021/104,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FSC/01 Human resources and Light technical equipment,69142,2021,Technical Equipment & Human Resources,Frontex Situation Centre
2021/160,TF Deploy,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 1 of the standing corps",366300.29,2021,Human Resources,Task Force Deployment Management
2021/221,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,2171544,2021,Technical Equipment,Field Deployment Unit
2021/227,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,115579,2021,Technical Equipment,Field Deployment Unit
2021/265,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 2 of the standing corps",461267.04,2021,Human Resources,Deployment Management Division
2021/310,DMD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece","Support in the development of human resources to secure Member Statesâ€™ contributions to the standing corps, in relation to category 3 of the standing corps",361416.29,2021,Human Resources,Deployment Management Division
2021/409,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,213820,2021,Technical Equipment,Field Operations Unit
2021/418,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,693327,2021,Technical Equipment,Field Operations Unit
2021/439,FOU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2021/FDU/01/Heavy Technical Equipment,400779,2021,Technical Equipment,Field Operations Unit
2020/14,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2020/ECRET/01 Return Support,3943,2020,European Centre for Returns,European Centre for Returns
2020/48,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Light Technical Technical Equipment,695477,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/49,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Heavy Technical Equipment,706738,2020,Technical Equipment,Field Deployment Unit
2020/50,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Light Technical Technical Equipment,1114101,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/53,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2020/FDU/01/Human Resources/Light Technical Technical Equipment,1738433,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/61,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Light Technical Technical Equipment,61300,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/62,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2020/FDU/01/Human Resources/Light Technical Technical Equipment,11082,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/137,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2020/FSC-GR/Human Resources/Light Technical Equipment,14568,2020,Technical Equipment & Human Resources,Frontex Situation Centre
2020/146,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FSC/GA FSC FIMO Deployment/Mas plane,89725,2020,FIMO Deployment,Frontex Situation Centre
2020/147,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,625839,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/204,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,507483,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/266,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2020/FDU/01/Human Resources/Heavy Technical Technical Equipment,810206,2020,Technical Equipment & Human Resources,Field Deployment Unit
2020/325,TF Deploy,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",Financial Support Cat.2,460311,2020,Support Cat.2,Task Force Deployment Management
2019/17,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,3640,2019,FOA,European Centre for Returns
2019/40,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/FDU/01 Human Resources,1724259.92,2019,Human Resources,Field Deployment Unit
2019/43,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Human Resources,461092,2019,Human Resources,Field Deployment Unit
2019/44,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Technical Equipment,1274989,2019,Technical Equipment,Field Deployment Unit
2019/46,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Human Resources,64825,2019,Human Resources,Field Deployment Unit
2019/47,FDU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/FDU/01 Human Resources,136000,2019,Human Resources,Field Deployment Unit
2019/57,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Technical Equipment,736061,2019,Technical Equipment,Field Deployment Unit
2019/83,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/FSC/GA FSC FIMO Deployment,42132,2019,FIMO Deployment,Frontex Situation Centre
2019/158,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,2912,2019,FOA,European Centre for Returns
2019/162,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2018/FSC/GA FSC FIMO Deployment,178006,2019,FIMO Deployment,Frontex Situation Centre
2019/171,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Technical Equipment,1272661,2019,Technical Equipment,Field Deployment Unit
2019/235,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Technical Equipment,1854005,2019,Technical Equipment,Field Deployment Unit
2019/248,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019 including return and pre- return related activities,3640,2019,FOA,European Centre for Returns
2019/322,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177 Athens, Greece",2019/ECRet/01-FOA-R 2019,3640,2019,FOA,European Centre for Returns
2019/344,FDU,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus, Greece",2019/FDU/01 Technical Equipment,1422437,2019,Technical Equipment,Field Deployment Unit
2018/24,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/FSC/GA FSC FIMO Deployment,88193,2018,FIMO Deployment,Frontex Situation Centre
2018/29,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/FSC/GA FSC FIMO Deployment,26796,2018,FIMO Deployment,Frontex Situation Centre
2018/50,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Human Resources,76471,2018,Human Resources,Operational Response Division
2018/52,ORD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/ORD/01 Human Resources,3372288,2018,Human Resources,Operational Response Division
2018/55,ORD,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/ORD/01 Human Resources,182054,2018,Human Resources,Operational Response Division
2018/63,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Technical Equipment,2083955,2018,Technical Equipment,Operational Response Division
2018/72,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Human Resources,526910,2018,Human Resources,Operational Response Division
2018/76,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/RSU/01 RO,15438,2018,Return Operations,Return Support Unit
2018/174,ECRET,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2017/RSU/01,6278,2018,2017/RSU/01,European Centre for Returns
2018/181,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Technical Equipment,1606248,2018,Technical Equipment,Operational Response Division
2018/247,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Technical Equipment (Liaison officers onboard home MS assets),836098,2018,Technical Equipment,Operational Response Division
2018/254,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/ECRet/01 FOA- R 2018,3640,2018,FOA,European Centre for Returns
2018/256,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Technical Equipment,2032541,2018,Technical Equipment,Operational Response Division
2018/354,ECRET,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street,10177 Athens, Greece",2018/ECRet/01-FOA- R 2018,4367,2018,FOA,European Centre for Returns
2018/378,ORD,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510 Piraeus,Greece",2018/ORD/01 Technical Equipment,1232835,2018,Technical Equipment,Operational Response Division
2017/108,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/FSC/01 FSC Support Officer Deployment,27148,2017,FSC Support Officer Deployment,Frontex Situation Centre
2017/135,SBS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/SBS/07 JO Poseidon 2017,1490899,2017,Poseidon,Sea Border Sector
2017/137,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/07 JO Poseidon 2017,2290926,2017,Poseidon,Sea Border Sector
2017/288,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/01 SBS General Portfolio 2017,44693,2017,SBS General Portfolio 2017,Sea Border Sector
2017/294,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/FSC/02 FSC Support Officer Deployment,26767,2017,FSC Support Officer Deployment,Frontex Situation Centre
2017/466,SBS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/SBS/07 JO Poseidon 2017,2273376,2017,Poseidon,Sea Border Sector
2017/511,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/07 JO Poseidon 2017,12470,2017,Poseidon,Sea Border Sector
2017/586,LBS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/LBS/01 FOA,45197,2017,FOA,Land Borders Sector
2017/732,LBS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/LBS/01 FOA,6629,2017,FOA,Land Borders Sector
2017/819,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/RSU/03 JO Poseidon,11198,2017,Poseidon,Return Support Unit
2017/832,FSC,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/FSC/02 FSC Support Officer Deployment,41839,2017,FSC Support Officer Deployment,Frontex Situation Centre
2017/871,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/RSU/01 RO to Colombia and Dominican Republic,7516,2017,Return Operations,Return Support Unit
2017/885,FSC,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/FSC/01 FSC Support Officer Deployment,6692,2017,FSC Support Officer Deployment,Frontex Situation Centre
2017/901,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/07 JO Poseidon 2017,2549553,2017,Poseidon,Sea Border Sector
2017/912,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/RSU/01 RO to Nigeria,9380,2017,Return Operations,Return Support Unit
2017/921,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/05 JO Triton 2017,36591,2017,Triton,Sea Border Sector
2017/948,SBS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/SBS/07 JO Poseidon 2017,2522633,2017,Poseidon,Sea Border Sector
2017/972,SBS,Greece,Hellenic Coast Guard,"Akti Vassiliadi, Gate E1-E2, 18510Piraeus, Greece",2017/SBS/07 JO Poseidon 2017,23403,2017,Poseidon,Sea Border Sector
2017/990,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/RSU/03 Poseidon,11198,2017,Poseidon,Return Support Unit
2017/1140,RSU,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/RSU/03 Poseidon,11198,2017,Poseidon,Return Support Unit
2017/1205,ABS,Greece,"Hellenic Police, Ministry of Public Order and Citizens' Protection","4 Kanellopoulou street, 10177Athens, Greece",2017/ABS/03 Focal Points 2017 Air,6444,2017,Focal Points,Air Border Sector
