year,country,Air Border Sector,Centre of Excellence in Combatting Document Fraud,Coast Guard Sector,Deployment Management Division,European Centre for Returns,Field Deployment Unit,Field Operations Unit,Frontex Situation Centre,Information Fusion Centre,International and European Cooperation Division,Joint Master’s in Strategic Border Management programme,Land Borders Sector,Land Borders Sector / Return Operations Sector,Law Enforcement Sector,Operational Response Division,Operational Support Division,Pooled Resources Unit,Public Regulated Service,Research and Development Unit,Research and Innovation Unit,Return Division,Return Operations Sector,Return Support Unit,Risk Analysis Unit,Sea Border Sector,Task Force Deployment Management,Training Unit,n.a.
2013,Moldova,9086.68,0,0,0,0,0,0,0,0,0,0,9999.5,0,0,0,0,0,0,0,0,0,0,0,0,4410,0,0,0
2014,Moldova,16598.91,0,0,0,0,0,0,0,0,0,0,14686.96,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0
2015,Moldova,11835,0,0,0,0,0,0,0,0,0,0,3585,0,0,0,0,0,0,0,0,0,0,0,0,2409,0,0,0
2016,Moldova,17179,0,0,0,0,0,0,0,0,0,0,43063,0,0,0,0,0,0,0,0,0,0,0,0,7077,0,0,0
2017,Moldova,38391,0,0,0,0,0,0,0,0,0,0,38439,0,0,0,0,0,0,0,0,0,0,0,0,1049,0,0,0
2018,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71477.31,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Moldova,0,0,0,0,0,270614.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Moldova,0,0,0,50691.25,0,35232.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Moldova,0,0,0,735505.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Moldova,0,0,0,602945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Moldova,0,0,0,277493.30000000005,7142.25,0,0,0,0,0,0,0,0,0,0,60197.13,0,0,0,0,13642.5,0,0,0,0,0,0,0
2012,Montenegro,0,0,0,0,0,0,0,0,0,0,0,4050.2,0,0,0,0,0,0,0,0,0,0,0,0,5554,0,0,0
2015,Montenegro,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Montenegro,0,0,0,0,0,0,0,0,0,0,0,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Montenegro,7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621.5,0,0,0,0,0
2019,Montenegro,0,0,0,0,2696.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Montenegro,0,0,0,0,2696.4,29101.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Montenegro,0,0,0,73825.72,0,102757.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Montenegro,0,0,0,114300.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Montenegro,0,0,0,173397.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Montenegro,0,0,0,89914.23999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Netherlands,177759.45,0,0,0,0,0,0,0,0,0,0,13475.52,0,0,0,0,0,0,0,0,0,442569.59,0,0,102883.67,0,0,0
2009,Netherlands,197242.09,0,0,0,0,0,0,0,0,0,0,47232,0,0,0,0,0,0,0,0,0,311035.65,0,0,205360.55,0,0,0
2010,Netherlands,132700.38,0,0,0,0,0,0,0,0,0,0,119622.16,0,0,0,0,371260.25,0,0,0,0,710862.77,0,0,821427.12,0,0,0
2011,Netherlands,218487.29,0,0,0,0,0,0,0,0,0,0,1310401.85,0,0,0,0,60785.65,0,0,0,0,2041265.7,0,0,1197726.26,0,0,0
2012,Netherlands,241454.99000000002,0,0,0,0,0,0,0,0,0,0,1060200.45,0,0,0,0,0,0,0,0,0,2153992.49,0,0,703997.81,0,0,0
2013,Netherlands,176292.56,0,0,0,0,0,0,27227.22,0,0,0,553528.86,0,0,0,0,0,0,0,0,0,1083457.03,0,0,362939.54000000004,0,0,0
2014,Netherlands,124765.67,0,0,0,0,0,0,57788.56,0,0,0,407047.15,0,0,0,0,0,0,0,0,0,1137771.68,0,0,764011.78,0,0,0
2015,Netherlands,128797,0,0,0,0,0,0,18293,0,0,0,697890,0,0,0,0,25449,0,0,0,0,1480003,0,0,1325614,0,0,0
2016,Netherlands,167729,0,0,0,0,0,0,86349,0,0,0,1486268,0,0,0,0,0,0,0,0,0,0,869887,0,10281146,0,0,0
2017,Netherlands,332745,0,0,0,0,0,0,85611,0,0,0,1979726,0,0,0,0,0,0,0,0,0,0,952519,0,8076975,0,0,0
2018,Netherlands,0,0,0,0,64601,0,0,85374,0,0,0,0,0,0,9137499,0,0,0,0,0,0,0,740570.15,0,5056.82,0,0,0
2019,Netherlands,0,0,0,0,87545,12823394,0,88649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Netherlands,0,0,0,0,462817.82,6476428,0,50244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Netherlands,0,0,0,2348731.01,565563.4299999999,1879132,274226,130762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Netherlands,0,0,0,5035401.7,279823.04000000004,0,129519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Netherlands,0,0,0,6094989.64,334241.1,0,180085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Netherlands,0,0,0,5221614.12,233299.65,0,0,0,0,0,0,0,0,0,0,2540601.98,0,0,0,0,0,0,0,0,0,0,0,0
2015,Nigeria,5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Nigeria,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9075,0,0,0
2011,North Macedonia,12792.08,0,0,0,0,0,0,0,0,0,0,3730.8199999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,North Macedonia,10736.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,North Macedonia,11836.02,0,0,0,0,0,0,0,0,0,0,3166.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,North Macedonia,16135.599999999999,0,0,0,0,0,0,0,0,0,0,6333.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,North Macedonia,10868,0,0,0,0,0,0,0,0,0,0,23560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,North Macedonia,19333,0,0,0,0,0,0,0,0,0,0,28255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,North Macedonia,18158,0,0,0,0,0,0,0,0,0,0,31427,0,0,0,0,0,0,0,0,0,0,0,0,8471,0,0,0
2018,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74892.09,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,North Macedonia,0,0,0,0,0,76360.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,North Macedonia,0,0,0,21153.75,0,39670.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,North Macedonia,0,0,0,15817.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,North Macedonia,0,0,0,321652.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,North Macedonia,0,0,0,251649.88,0,0,0,0,0,0,0,0,0,0,0,132615,0,0,0,0,0,0,0,0,0,0,0,0
2008,Norway,16965.5,0,0,0,0,0,0,0,0,0,0,8318.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Norway,32498.65,0,0,0,0,0,0,0,0,0,0,17803.06,0,0,0,0,0,0,0,0,0,93295.05,0,0,110300.29000000001,0,0,0
2010,Norway,27754.190000000002,0,0,0,0,0,0,0,0,0,0,29354.21,0,0,0,0,61349.2,0,0,0,0,388171.17,0,0,111143.67,0,0,0
2011,Norway,13194.95,0,0,0,0,0,0,0,0,0,0,50491.7,0,0,0,0,34439.5,0,0,0,0,957573.13,0,0,63520.95,0,0,0
2012,Norway,0,0,0,0,0,0,0,0,0,0,0,33077.84,0,0,0,0,0,0,0,0,0,752491.34,0,0,66915.11,0,0,0
2013,Norway,17237.7,0,0,0,0,0,0,0,0,0,0,37426.06,0,0,0,0,0,0,0,0,0,241442.16,0,0,90331.89,0,0,0
2014,Norway,9046.85,0,0,0,0,0,0,0,0,0,0,48012.44,0,0,0,0,3859.49,0,0,0,0,640303.04,0,0,89760.61,0,0,0
2015,Norway,9078,0,0,0,0,0,0,16228,0,0,0,34487,0,0,0,0,9728,0,0,0,0,565459,0,0,7026347,0,0,0
2016,Norway,900,0,0,0,0,0,0,0,0,0,0,95297,0,0,0,0,0,0,0,0,0,0,1337234,0,9814571,0,0,0
2017,Norway,0,0,0,0,0,0,0,0,0,0,0,59438,0,0,0,0,0,0,0,0,0,0,607377,0,8452787,0,0,0
2018,Norway,0,0,0,0,503567,0,0,0,0,0,0,0,0,0,464962,0,0,0,0,0,0,0,1008364.4,0,0,0,0,0
2019,Norway,0,0,0,0,1037854.8400000001,764214,0,19384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Norway,0,0,0,0,291127.07999999996,846385,0,30361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Norway,0,0,0,495725.39,279850.8,702380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Norway,0,0,0,1042629.35,1742626.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Norway,0,0,0,1397355.8699999999,489223.25,0,0,0,38671.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Norway,0,0,0,1922019.31,155525.87,0,0,0,0,0,0,0,0,0,0,575812.63,0,0,0,0,355089,0,0,0,0,0,0,0
2022,Pakistan,0,0,0,0,303960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Pakistan,0,0,0,0,1219819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Pakistan,0,0,0,0,1004746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Poland,44354.05,0,0,0,0,0,0,0,0,0,0,179682.11,0,0,0,0,0,37664.98,0,0,0,4794,0,0,0,0,0,0
2009,Poland,96276.88,0,0,0,0,0,0,0,0,0,0,654121.39,0,0,0,0,0,0,0,0,0,77979.05,0,0,574702.65,0,0,0
2010,Poland,100248.21,0,0,0,0,0,0,0,0,0,0,849861.29,0,0,0,0,78465,0,0,0,0,62817.979999999996,0,0,471836.42,0,0,0
2011,Poland,88110.62,0,0,0,0,0,0,0,0,0,0,732242,0,0,0,0,661979.47,0,0,0,0,20611.28,0,0,318069.48,0,0,0
2012,Poland,63243.909999999996,0,0,0,0,0,0,0,0,0,0,666654.24,0,0,0,0,0,0,0,0,0,55344.21,0,0,604961.8999999999,0,0,0
2013,Poland,49052.5,0,0,0,0,0,0,0,0,0,0,416196.76,0,0,0,0,32846.86,0,0,0,0,26667.49,0,0,135581.84,0,0,0
2014,Poland,21507.64,0,0,0,0,0,0,0,0,0,0,317555.05,0,0,0,0,14761.72,0,0,0,0,16010.9,0,0,420978.51,0,0,0
2015,Poland,45518,0,0,0,0,0,0,10954,0,0,0,454343,0,0,0,0,24186,0,0,0,0,6386,0,0,657730,0,0,0
2016,Poland,93728,0,0,0,0,0,0,16711,0,0,0,1213921,0,0,0,0,0,0,0,0,0,0,304564,0,3027009,0,0,0
2017,Poland,149799,0,0,0,0,0,0,68647,0,0,0,1066685,0,0,0,0,85163,0,0,0,0,0,516497,0,1334060,0,0,0
2018,Poland,0,0,0,0,90213,0,0,45276,0,0,0,0,0,0,3381422,0,25516,0,0,0,0,0,33912,0,0,0,0,0
2019,Poland,0,0,0,0,166733,3702111.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Poland,0,0,0,0,162026.88,3602485,0,34669.520000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276485.67,0
2021,Poland,0,0,0,1811732.78,467093.33999999997,3679332,202122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106350.09,0,0
2022,Poland,0,0,0,4072317.5,1364367.03,0,1134998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Poland,0,0,289672.2,6871201.3,430008.31,0,955952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Poland,0,0,0,6281813.8,532072.14,0,372249,0,0,0,0,0,0,0,0,2054685.96,0,0,0,0,26736,0,0,0,0,0,0,0
2008,Portugal,192099.38,0,0,0,0,0,0,0,0,0,0,100239.23,0,0,0,0,0,0,0,0,0,0,0,10671.98,779601.97,0,0,0
2009,Portugal,136628.79,0,0,0,0,0,0,0,0,0,0,47354.14,0,0,0,0,0,0,0,0,0,0,0,0,946473.15,0,0,0
2010,Portugal,18110.14,0,0,0,0,0,0,0,0,0,0,40080.49,0,0,0,0,96544.8,0,0,0,0,0,0,0,703516.59,0,0,0
2011,Portugal,73443.04000000001,0,0,0,0,0,0,0,0,0,0,212700.23,0,0,0,0,66829.81,0,0,0,0,79131.99,0,0,4210531.9,0,0,0
2012,Portugal,105847.78,0,0,0,0,0,0,8357.37,0,0,0,299993.55,0,0,0,0,0,0,0,0,0,12268.75,0,0,2513990.5700000003,0,0,0
2013,Portugal,61225.91,0,0,0,0,0,0,3513.88,0,0,0,266760.22,0,0,0,0,16765.83,0,0,0,0,6346.86,0,0,2994392.42,0,0,0
2014,Portugal,108903.70999999999,0,0,0,0,0,0,0,0,0,0,457561.72000000003,0,0,0,0,0,0,0,0,0,4663.65,0,0,3351785.23,0,0,0
2015,Portugal,75909,0,0,0,0,0,0,0,0,0,0,218028,0,0,0,0,0,0,0,0,0,166,0,0,4783837,0,0,0
2016,Portugal,99630,0,0,0,0,0,0,0,0,0,0,372185,0,0,0,0,0,0,0,0,0,0,355832,0,9496049,0,0,0
2017,Portugal,109961,0,0,0,0,0,0,89217,0,0,0,759877,0,0,0,0,44943,0,0,0,0,0,64852,0,8981587,0,119881,0
2018,Portugal,0,0,0,0,23576,0,0,386136,0,0,0,0,0,0,12120933.8,0,26352,0,0,0,0,0,15490.59,0,12743.7,0,0,0
2019,Portugal,0,0,0,0,37190.729999999996,10713026.35,0,178564,0,0,0,0,0,0,0,0,0,0,0,138675,0,0,0,0,0,0,0,0
2020,Portugal,0,0,0,0,90722.9,7106187,0,128029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Portugal,0,0,0,1957647.89,12038,3374621,2886945,226873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288483.56,0,0
2022,Portugal,0,0,0,3312429.7399999998,19299,0,6534794,0,18044.74,0,0,0,0,48096.2,0,0,0,0,0,0,0,0,0,0,0,0,3263994.71,0
2023,Portugal,0,0,0,4664540.11,15796,0,8384478,0,19727.69,0,0,0,0,0,0,0,0,0,0,71842.01999999999,0,0,0,0,0,0,692133.96,0
2024,Portugal,0,0,0,2265888.73,5612,0,3475433.01,0,0,0,0,0,0,34561,0,6944598.17,0,0,0,0,29066,0,0,0,0,0,3248905.59,0
2008,Romania,198546.2,0,0,0,0,0,0,0,0,0,0,246966.15,0,0,0,0,0,0,0,0,0,0,0,0,566421.54,0,0,0
2009,Romania,128065.78,0,0,0,0,0,0,0,0,0,0,155985.55,0,0,0,0,0,0,0,0,0,2082.6,0,0,311746.19,0,0,0
2010,Romania,116090.08,0,0,0,0,0,0,0,0,0,0,257786.23,0,0,0,0,515977.7,0,0,0,0,31529.2,0,0,690082.25,0,0,0
2011,Romania,177268.23,0,0,0,0,0,0,0,0,0,0,1053917.54,0,0,0,0,145588.5,0,0,0,0,45341.44,0,0,2344671.15,0,0,0
2012,Romania,196689.91,0,0,0,0,0,0,50642.39,0,0,0,1707174.32,0,0,0,0,0,0,0,0,0,93450.39,0,0,1369495.7,0,0,0
2013,Romania,133398.5,0,0,0,0,0,0,61125.89,0,0,0,684136.04,0,0,0,0,9863.26,0,0,0,0,61226.17,0,0,879109.88,0,0,0
2014,Romania,134460.82,0,0,0,0,0,0,33617.26,0,0,0,910107.7999999999,0,0,0,0,8343.86,0,0,0,0,4079.6,0,0,1432126.35,0,0,0
2015,Romania,85801,0,0,0,0,0,0,100292,0,0,0,1207261,0,0,0,0,9953,0,0,0,0,3091,0,0,1040078,0,0,0
2016,Romania,206050,0,0,0,0,0,0,131266,0,0,0,1669571,0,0,0,0,0,0,0,0,0,0,482283,0,3957528,0,0,0
2017,Romania,170019,0,0,0,0,0,0,160068,0,0,0,1596278,0,0,0,0,166067,0,0,0,0,0,9667,0,4534108,0,39531,0
2018,Romania,0,0,0,0,0,0,0,136280,0,0,0,0,0,0,3687643,0,24085,0,0,0,0,0,0,0,0,0,59548.6,0
2019,Romania,0,0,253758,0,9293,3842816.16,0,126648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178824.14,0
2020,Romania,0,0,276786.59,0,22397,5087646,0,245813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Romania,0,0,509754,1524340.09,51694,4340834,1633766,60172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632700.51,0,0
2022,Romania,0,0,600470,6707982.29,24141,0,1418860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Romania,0,0,949565,7674284.11,53379,0,7274356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Romania,0,0,354536,2853290.85,25265,0,2393756,0,0,0,0,0,0,0,0,5028100.0600000005,0,0,0,37073.36,20424,0,0,0,0,0,0,0
2009,Serbia,0,0,0,0,0,0,0,0,0,0,0,34023.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Serbia,0,0,0,0,0,0,0,0,0,0,0,72538.56999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Serbia,22697.06,0,0,0,0,0,0,0,0,0,0,111888.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Serbia,4550.57,0,0,0,0,0,0,0,0,0,0,3657.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Serbia,9252.29,0,0,0,0,0,0,0,0,0,0,3571.71,0,0,0,0,5375.68,0,0,0,0,0,0,0,0,0,0,0
2014,Serbia,0,0,0,0,0,0,0,0,0,0,0,11089.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Serbia,14597,0,0,0,0,0,0,0,0,0,0,136465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Serbia,0,0,0,0,0,0,0,0,0,0,0,83611,0,0,0,0,0,0,0,0,0,0,7698,0,0,0,0,0
2017,Serbia,0,0,0,0,0,0,0,0,0,0,0,100074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99856.68,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Serbia,0,0,0,0,0,90547.68000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Serbia,0,0,0,0,0,12504.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Serbia,0,0,0,293281.66,0,3312.72,78683.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Serbia,0,0,0,415992.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Serbia,0,0,0,414894.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Serbia,0,0,0,373615.2,0,0,0,0,0,0,0,0,0,0,0,27241.13,0,0,0,0,0,0,0,0,0,0,0,0
2008,Slovakia,37343.770000000004,0,0,0,0,0,0,0,0,0,0,74659.37,0,0,0,0,0,15862.44,0,0,0,539.84,0,0,0,0,0,0
2009,Slovakia,74091.8,0,0,0,0,0,0,0,0,0,0,473444.01,0,0,0,0,0,0,0,0,0,5787.5,0,0,96566.09,0,0,0
2010,Slovakia,54608.77,0,0,0,0,0,0,0,0,0,0,211956.81,0,0,0,0,96532.87,0,0,0,0,1215.5,0,0,215411.51,0,0,0
2011,Slovakia,94120.67,0,0,0,0,0,0,0,0,0,0,98559.51000000001,0,0,0,0,21583.64,0,0,0,0,479.4,0,0,167876.27,0,0,0
2012,Slovakia,22984.07,0,0,0,0,0,0,5337.95,0,0,0,167912.65000000002,0,0,0,0,0,0,0,0,0,0,0,0,98398.45999999999,0,0,0
2013,Slovakia,35594.619999999995,0,0,0,0,0,0,10792.02,0,0,0,83034.95,0,0,0,0,5245.68,0,0,0,0,10070.84,0,0,82381.44,0,0,0
2014,Slovakia,20859.71,0,0,0,0,0,0,12445.17,0,0,0,68250.03,0,0,0,0,9213.77,0,0,0,0,155,0,0,98008.81,0,0,0
2015,Slovakia,23861,0,0,0,0,0,0,0,0,0,0,61747,0,0,0,0,2109,0,0,0,0,744,0,0,300020,0,0,0
2016,Slovakia,53831,0,0,0,0,0,0,0,0,0,0,390102,0,0,0,0,0,0,0,0,0,0,66796,0,649784,0,0,0
2017,Slovakia,26549,0,0,0,0,0,0,0,0,0,0,68653,0,0,0,0,19181,0,0,0,0,0,238462,0,275183,0,0,0
2018,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999022,0,15002,0,0,0,0,0,0,0,0,0,0,0
2019,Slovakia,0,0,0,0,0,727940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Slovakia,0,0,0,0,1453,750099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313804,0,0
2021,Slovakia,0,0,0,511273.08,9533,542650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13433.34,0,0
2022,Slovakia,0,0,0,1722641.7,78108,0,211089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Slovakia,0,0,0,2354420.84,48628,0,112660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Slovakia,0,0,0,1316051.4,4406,0,0,0,0,0,0,0,0,0,0,268252.38,0,0,0,0,9378,0,0,0,0,0,0,0
2008,Slovenia,18815.45,0,0,0,0,0,0,0,0,0,0,64195.58,0,0,0,0,0,0,0,0,0,0,0,0,5022.94,0,0,0
2009,Slovenia,22866.65,0,0,0,0,0,0,0,0,0,0,107336.36,0,0,0,0,0,0,0,0,0,0,0,0,20636,0,0,0
2010,Slovenia,11279.17,0,0,0,0,0,0,0,0,0,0,167786.36000000002,0,0,0,0,24528.8,0,0,0,0,20057.32,0,0,36130.74,0,0,0
2011,Slovenia,19994.550000000003,0,0,0,0,0,0,0,0,0,0,180609.53,0,0,0,0,9946.04,0,0,0,0,10020.12,0,0,20328.92,0,0,0
2012,Slovenia,6646.8,0,0,0,0,0,0,0,0,0,0,244333.16,0,0,0,0,0,0,0,0,0,15633.009999999998,0,0,25669.86,0,0,0
2013,Slovenia,9188.24,0,0,0,0,0,0,0,0,0,0,163482.63,0,0,0,0,11651.23,0,0,0,0,6246.66,0,0,33242.71,0,0,0
2014,Slovenia,32183.46,0,0,0,0,0,0,0,0,0,0,192057.51,0,0,0,0,6803.06,0,0,0,0,11281.01,0,0,37371.259999999995,0,0,0
2015,Slovenia,22363,0,0,0,0,0,0,0,0,0,0,226145,0,0,0,0,25081,0,0,0,0,0,0,0,46213,0,0,0
2016,Slovenia,27160,0,0,0,0,0,0,0,0,0,0,493900,0,0,0,0,0,0,0,0,0,0,61306,0,94555,0,0,0
2017,Slovenia,48084,0,0,0,0,0,0,0,0,0,0,255355,0,0,0,0,16459,0,0,0,0,0,10576,0,58875,0,0,0
2018,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477953,0,14865,0,0,0,0,0,22282,0,0,0,0,0
2019,Slovenia,0,0,0,0,19530,466429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Slovenia,0,0,0,0,12200,519485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336048,0,0
2021,Slovenia,0,0,0,641732.52,35195,705471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14350.01,0,0
2022,Slovenia,0,0,0,1969037.1099999999,372246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Slovenia,0,0,0,2380995.73,53390.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Slovenia,0,0,0,1046349,5116,0,0,0,0,0,0,0,0,0,0,463256.43,0,0,0,0,7674,0,0,0,0,0,0,0
2008,Spain,256790.12,0,0,0,0,0,0,0,0,0,0,10724.710000000001,0,0,0,0,0,0,0,0,0,1029730,0,0,7028061.24,0,0,0
2009,Spain,239067.94,0,0,0,0,0,0,0,0,0,0,96119.85,0,0,0,0,0,0,0,0,0,708725.4299999999,0,0,7388820.65,0,0,0
2010,Spain,82000.93000000001,0,0,0,0,0,0,0,0,0,0,60252.74,0,0,0,0,84276.01,0,0,0,0,1198676.01,0,0,5746656.12,0,0,0
2011,Spain,248212.55,0,0,0,0,0,0,0,0,0,0,135491.18,0,0,0,0,3375.74,0,0,0,0,2369622.99,0,0,6228351.96,0,0,0
2012,Spain,194725.87,0,0,0,0,0,0,54862.72,0,0,0,159797.29,0,0,0,0,0,0,0,0,0,1540549.49,0,0,4307326.31,0,0,0
2013,Spain,136757.94,0,0,0,0,0,0,52428.03,0,0,0,167203.07,0,0,0,0,12902.06,0,0,0,0,2246786.57,0,0,3708837.41,0,0,0
2014,Spain,85346.16,0,0,0,0,0,0,57569.58,0,0,0,351626.81,0,0,0,0,24527.04,0,0,0,0,1875745,0,0,5493449.21,0,0,0
2015,Spain,116689,0,0,0,0,0,0,163555,0,0,0,471256,0,0,0,0,12738,0,0,0,0,35716,0,0,6081049,0,0,0
2016,Spain,155821,0,0,0,0,0,0,145308,0,0,0,1011159,0,0,0,0,0,0,0,0,0,0,2684431,0,7054558,0,0,0
2017,Spain,157592,0,0,0,0,0,0,153502,0,0,0,935474,0,0,0,0,0,0,0,0,0,0,3385316,0,7597086,0,29215,0
2018,Spain,0,0,0,0,2325203,0,0,149684,0,0,0,0,0,0,8717086,0,0,0,0,0,0,0,1490922,0,0,0,0,0
2019,Spain,0,0,0,0,3899204,7000374.0600000005,0,145343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
