country,project_clean,beneficiary,max_year,grant_no,unit_sector_long,eur,min_year,display_width
Belgium,European Centre for Returns,Fedasil (Federaal agentschap voor de opvang van asielzoekers),61701883.51,Multiple smaller grants,various,45234.28,1234037.6702,1278367.2646
Belgium,Technical Equipment & Human Resources,General Administration of Customs and Excise,61701883.51,Multiple smaller grants,Deployment Management Division,37729,1234037.6702,1271012.0902
Belgium,White Sea II,FOD Financiën,61701883.51,Multiple smaller grants,Law Enforcement Sector,45360,1234037.6702,1278490.4702
Belgium,various projects,Belgian Immigration Office,61701883.51,Multiple smaller grants,various,877373.48,1234037.6702,2093863.6806
Belgium,various projects,Caritas International Belgium (NGO),61701883.51,Multiple smaller grants,European Centre for Returns,752580,1234037.6702,1971566.0702000002
Belgium,various projects,Department of Federal Immigration (Dienst Vreemdelingenzaken),61701883.51,Multiple smaller grants,various,7261870.63,1234037.6702,8350670.887600001
Belgium,various projects,Federal Police,61701883.51,Multiple smaller grants,various,7121593.32,1234037.6702,8213199.1238
Belgium,various projects,International Returns & Reintegration Assistance (NGO),61701883.51,Multiple smaller grants,various,592632,1234037.6702,1814817.0302
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,148618,2019/305,Field Deployment Unit,14913.66,2972.36,17587.7468
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,148618,2019/326,Field Deployment Unit,14211.74,2972.36,16899.8652
Bosnia and Herzegovina,Human Resources,Border Police of Bosnia and Herzegovina,148618,2018/340,Operational Response Division,8750.46,2972.36,11547.810800000001
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2023/353,Deployment Management Division,7704,2972.36,10522.28
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2021/397,Deployment Management Division,7335.92,2972.36,10161.561600000001
Bosnia and Herzegovina,Alexis,Border Police of Bosnia and Herzegovina,148618,2014/363,Air Border Sector,6927.18,2972.36,9760.996400000002
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2021/393,Deployment Management Division,6319.42,2972.36,9165.3916
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2022/373,Deployment Management Division,6319.42,2972.36,9165.3916
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2013/569,Air Border Sector,5810.1,2972.36,8666.258000000002
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2016/1157,Land Borders Sector,5714,2972.36,8572.08
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2016/1261,Air Border Sector,5665,2972.36,8524.06
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2014/687,Land Borders Sector,5398,2972.36,8262.4
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2017/699,Land Borders Sector,5297,2972.36,8163.42
Bosnia and Herzegovina,Flexible Operational Activities,Border Police of Bosnia and Herzegovina,148618,2014/380,Land Borders Sector,5285,2972.36,8151.660000000002
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,148618,2013/283,Land Borders Sector,5210.9,2972.36,8079.042000000001
Bosnia and Herzegovina,FOA,Border Police of Bosnia and Herzegovina,148618,2016/1145,Land Borders Sector,5078,2972.36,7948.800000000001
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2017/1496,Air Border Sector,4713,2972.36,7591.1
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2015/639,Land Borders Sector,4665,2972.36,7544.0599999999995
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2015/768,Air Border Sector,4655,2972.36,7534.26
Bosnia and Herzegovina,Focal Points,Border Police of Bosnia and Herzegovina,148618,2014/281,Air Border Sector,4499.35,2972.36,7381.723000000002
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,148618,2012/136,Land Borders Sector,4300,2972.36,7186.360000000001
Bosnia and Herzegovina,Neptune,Border Police of Bosnia and Herzegovina,148618,2011/506/,Land Borders Sector,4120.28,2972.36,7010.2344
Bosnia and Herzegovina,Rex 2014,Border Police of Bosnia and Herzegovina,148618,2014/949,Pooled Resources Unit,2989.58,2972.36,5902.1484
Bosnia and Herzegovina,JO Flexi Force 2013 Mizar Operational Module,Border Police of Bosnia and Herzegovina,148618,2013/133,Air Border Sector,2735.99,2972.36,5653.6302
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2021/391,Field Operations Unit,849928,600290.9434000001,1433220.3834000002
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2024/158,Deployment Management Division,845178.84,600290.9434000001,1428566.2066000002
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2023/472,Field Operations Unit,780524,600290.9434000001,1365204.4634000002
Bulgaria,Technical Equipment,Bulgarian Ministry of Interior,30014547.17,2024/110,Field Operations Unit,766638,600290.9434000001,1351596.1834
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2024/361,NA,748389,600290.9434000001,1333712.1634
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2022/409,Field Operations Unit,692087,600290.9434000001,1278536.2034
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2018/20,Operational Response Division,689073,600290.9434000001,1275582.4834000003
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2023/145,Deployment Management Division,670020,600290.9434000001,1256910.5434000003
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2023/432,Field Operations Unit,632564,600290.9434000001,1220203.6634
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2018/336,Operational Response Division,625414,600290.9434000001,1213196.6634
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2024/327,NA,598574,600290.9434000001,1186893.4634000002
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2018/240,Operational Response Division,582851,600290.9434000001,1171484.9234000002
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2021/140,Coast Guard Sector,579514,600290.9434000001,1168214.6634
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/1148,Sea Border Sector,568487,600290.9434000001,1157408.2034
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2020/132,Field Deployment Unit,538019,600290.9434000001,1127549.5634
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2024/236,NA,509901.09,600290.9434000001,1099994.0116
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2022/367,Field Operations Unit,509727,600290.9434000001,1099823.4034000002
Bulgaria,Black Sea 2022,Chief Directorate Border Police - Ministry of Interior,30014547.17,2022/308,Coast Guard Sector,503734,600290.9434000001,1093950.2634
Bulgaria,Technical Equipment & Human Resources,Bulgarian Ministry of Interior,30014547.17,2023/81,Deployment Management Division,503537,600290.9434000001,1093757.2034000002
Bulgaria,Technical Equipment & Human Resources,Bulgarian Ministry of Interior,30014547.17,2024/107,Deployment Management Division,500958,600290.9434000001,1091229.7834
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2024/279,NA,475000,600290.9434000001,1065790.9434000002
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2023/287,Deployment Management Division,472511.6,600290.9434000001,1063352.3114
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2021/33,Field Deployment Unit,457110,600290.9434000001,1048258.7434
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2020/244,Field Deployment Unit,455340,600290.9434000001,1046524.1434000002
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2016/25,Sea Border Sector,449449,600290.9434000001,1040750.9634000001
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/1528,Sea Border Sector,447631,600290.9434000001,1038969.3234000001
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2019/354,Field Deployment Unit,437084,600290.9434000001,1028633.2634000002
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2020/303,Field Deployment Unit,431793,600290.9434000001,1023448.0834000001
Bulgaria,Technical Equipment,Chief Directorate Border Police - Ministry of Interior,30014547.17,2019/287,Field Deployment Unit,422447,600290.9434000001,1014289.0034000002
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2016/1479,Return Support Unit,379764,600290.9434000001,972459.6634000002
Bulgaria,Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2023/199,Deployment Management Division,358400.05,600290.9434000001,951522.9924000001
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/712,Return Support Unit,344678,600290.9434000001,938075.3834000002
Bulgaria,Technical Equipment & Human Resources,Chief Directorate Border Police - Ministry of Interior,30014547.17,2022/341,Deployment Management Division,342052,600290.9434000001,935501.9034000002
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/1069,Return Support Unit,319383,600290.9434000001,913286.2834000001
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/507,Return Support Unit,317808,600290.9434000001,911742.7834000001
Bulgaria,Poseidon,Chief Directorate Border Police - Ministry of Interior,30014547.17,2017/320,Return Support Unit,308537,600290.9434000001,902657.2034000001
Bulgaria,various projects,Bulgarian Ministry of Interior,30014547.17,Multiple smaller grants,various,173767.9,600290.9434000001,770583.4854000001
Bulgaria,various projects,Chief Directorate Border Police - Ministry of Interior,30014547.17,Multiple smaller grants,various,10719531.99,600290.9434000001,11105432.2936
Bulgaria,various projects,National Police Service - Ministry of Interior,30014547.17,Multiple smaller grants,various,7141.7,600290.9434000001,607289.8094000001
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,7140.88,2016/1377,Air Border Sector,2622,142.8176,2712.3776
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,7140.88,2015/1049,Air Border Sector,2604,142.8176,2694.7375999999995
Cape Verde,Focal Points,Direccao de Estrangeiros e Fronteiras,7140.88,2014/857,Air Border Sector,1914.88,142.8176,2019.4
Croatia,Technical Equipment & Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2023/107,Deployment Management Division,1381959,378677.65119999996,1732997.4711999998
Croatia,Triton,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2015/642,Sea Border Sector,1276131,378677.65119999996,1629286.0312
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,18933882.56,2022/43,Deployment Management Division,1184260,378677.65119999996,1539252.4511999998
Croatia,Technical Equipment & Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2024/67,Deployment Management Division,1014070,378677.65119999996,1372466.2511999998
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2022/193,Deployment Management Division,877666.02,378677.65119999996,1238790.3508
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2020/81,Field Deployment Unit,641219,378677.65119999996,1007072.2712
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2022/240,Deployment Management Division,570748.87,378677.65119999996,938011.5438
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2021/297,Deployment Management Division,555867.11,378677.65119999996,923427.419
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2021/276,Field Deployment Unit,552731,378677.65119999996,920354.0312
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2015/865,Sea Border Sector,523968,378677.65119999996,892166.2911999999
Croatia,Human Resources,Croatian Ministry of Interior,18933882.56,2019/48,Field Deployment Unit,517348,378677.65119999996,885678.6912
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2023/125,Deployment Management Division,516418.70999999996,378677.65119999996,884767.987
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2021/316,Deployment Management Division,495479.73,378677.65119999996,864247.7866
Croatia,Human Resources,Croatian Ministry of Interior,18933882.56,2018/54,Operational Response Division,460898,378677.65119999996,830357.6912
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2018/297,Operational Response Division,431929,378677.65119999996,801968.0711999999
Croatia,Human Resources,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2024/255,NA,388224.07,378677.65119999996,759137.2398
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2017/1183,Sea Border Sector,385617,378677.65119999996,756582.3112
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2022/54,Field Operations Unit,380184,378677.65119999996,751257.9712
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,18933882.56,2020/58,Field Deployment Unit,369150,378677.65119999996,740444.6512
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2021/403,Field Operations Unit,368889,378677.65119999996,740188.8711999999
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2021/112,Field Deployment Unit,362280,378677.65119999996,733712.0512
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2019/265,Field Deployment Unit,359643.17,378677.65119999996,731127.9578
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2020/235,Field Deployment Unit,358438,378677.65119999996,729946.8912
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2019/72,Field Deployment Unit,344395,378677.65119999996,716184.7512
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2017/127,Sea Border Sector,332235,378677.65119999996,704267.9512
Croatia,Technical Equipment,Croatian Ministry of Interior,18933882.56,2018/80,Operational Response Division,296787,378677.65119999996,669528.9112
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2015/1343,Sea Border Sector,265223,378677.65119999996,638596.1912
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2016/1444,Sea Border Sector,252403,378677.65119999996,626032.5911999999
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2015/603,Sea Border Sector,225688,378677.65119999996,599851.8912
Croatia,Poseidon,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,2016/320,Sea Border Sector,212169,378677.65119999996,586603.2712
Croatia,European Centre for Returns,Croatian Ministry of Interior,18933882.56,2024/359,NA,201677,378677.65119999996,576321.1111999999
Croatia,Technical Equipment & Human Resources,Croatian Ministry of Interior,18933882.56,2020/205,Field Deployment Unit,191311,378677.65119999996,566162.4312
Croatia,Technical Equipment,Border Police,18933882.56,Multiple smaller grants,Coast Guard Sector,182949,378677.65119999996,557967.6712
Croatia,on EU-southeastern external border: efficiency with high ethical standards - land border surveillance training with implication on fundamental rights. An EU and non-EU training initiative.,"Police Academy, Ministry of Interior",18933882.56,Multiple smaller grants,Training Unit,55500,378677.65119999996,433067.65119999996
Croatia,various projects,Croatian Ministry of Interior,18933882.56,Multiple smaller grants,various,741982.3,378677.65119999996,1105820.3052
Croatia,various projects,"Directorate for Financial-Material Affairs, Ministry of Interior",18933882.56,Multiple smaller grants,various,1658444.58,378677.65119999996,2003953.3396
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2718910.14,2024/175,Deployment Management Division,215606.86,54378.20280000001,265672.9256
Cyprus,Poseidon,"Cyprus Police, Police Headquarters",2718910.14,2015/1111,Sea Border Sector,211787,54378.20280000001,261929.46279999998
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2718910.14,2023/419,European Centre for Returns,155540,54378.20280000001,206807.4028
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2718910.14,2023/427,Deployment Management Division,150113.3,54378.20280000001,201489.23679999998
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2718910.14,2023/32,European Centre for Returns,146612,54378.20280000001,198057.9628
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2718910.14,2024/56,European Centre for Returns,115342.4,54378.20280000001,167413.7548
Cyprus,Human Resources,"Cyprus Police, Aliens and Immigration Unit",2718910.14,2022/209,Deployment Management Division,111682.56,54378.20280000001,163827.1116
Cyprus,Technical Equipment & Human Resources,"Cyprus Police, Police Headquarters",2718910.14,2024/79,Deployment Management Division,110724,54378.20280000001,162887.7228
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2718910.14,2024/323,NA,108704,54378.20280000001,160908.1228
Cyprus,European Centre for Returns,Civil Registry and Migration Department (CRMD),2718910.14,2023/434,European Centre for Returns,106155,54378.20280000001,158410.1028
Cyprus,European Centre for Returns,"Cyprus Police, Aliens and Immigration Unit",2718910.14,2023/312,European Centre for Returns,97664,54378.20280000001,150088.9228
Cyprus,Technical Equipment & Human Resources,Cyprus Police,2718910.14,2023/97,Deployment Management Division,84726,54378.20280000001,137409.6828
