grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2018/392,ORD,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2018/ORD/01 Human Resources,4755.42,2018,Ukraine,Human Resources,Operational Response Division
2017/270,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/01 FOA,7087,2017,Ukraine,FOA,Land Borders Sector
2017/373,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/01 FOA,7087,2017,Ukraine,FOA,Land Borders Sector
2017/451,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/SBS/05 JO Triton 2017,25413,2017,Ukraine,Triton,Sea Border Sector
2017/501,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/ABS/06 JO Alexis,5124,2017,Ukraine,Alexis,Air Border Sector
2017/690,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/01 FOA,13442,2017,Ukraine,FOA,Land Borders Sector
2017/700,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/SBS/06 Focal Points Sea 2017,11704,2017,Ukraine,Focal Points,Sea Border Sector
2017/706,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/ABS/11 Vega Children,9215,2017,Ukraine,VEGA Children,Air Border Sector
2017/707,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/ABS/03 Focal Points 2017 Air,5607,2017,Ukraine,Focal Points,Air Border Sector
2017/836,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/02 Focal Points,20229,2017,Ukraine,Focal Points,Land Borders Sector
2017/837,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/01 FOA,7595,2017,Ukraine,FOA,Land Borders Sector
2017/999,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/SBS/04 Minerva 2017,2512,2017,Ukraine,Minerva,Sea Border Sector
2017/1024,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/ABS/04 JO Focal Points 2017 Air Intermediate Managers,3186,2017,Ukraine,Focal Points,Air Border Sector
2017/1177,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/SBS/07 JO Poseidon 2017,2159,2017,Ukraine,Poseidon,Sea Border Sector
2017/1190,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/02 Focal Points,56863,2017,Ukraine,Focal Points,Land Borders Sector
2017/1305,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/LBS/01 FOA,7319,2017,Ukraine,FOA,Land Borders Sector
2017/1498,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/ABS/06 JO Alexis,5196,2017,Ukraine,Alexis,Air Border Sector
2017/1717,RSU,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv01601, Ukraine",2017/RSU/01 CRO to Ukraine,2768,2017,Ukraine,Return Operations,Return Support Unit
2016/347,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/ABS/06 Alexis,5823,2016,Ukraine,Alexis,Air Border Sector
2016/456,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/LBS/01 FOA,7137,2016,Ukraine,FOA,Land Borders Sector
2016/648,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/ABS/13 Eurocup,30517,2016,Ukraine,Eurocup,Air Border Sector
2016/753,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/LBS/02 JO Focal Points,11933,2016,Ukraine,Focal Points,Land Borders Sector
2016/991,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/ABS/03 Focal Points Air,4946,2016,Ukraine,Focal Points,Air Border Sector
2016/1037,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/LBS/02 JO Focal Points,16936,2016,Ukraine,Focal Points,Land Borders Sector
2016/1281,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/ABS/04 Focal Points Air IM,3457,2016,Ukraine,Focal Points,Air Border Sector
2016/1376,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/ABS/06 Alexis,5823,2016,Ukraine,Alexis,Air Border Sector
2016/1413,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/LBS/01 FOA,5626,2016,Ukraine,FOA,Land Borders Sector
2016/1420,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/SBS/05 EPN-Triton,9546,2016,Ukraine,Triton,Sea Border Sector
2016/1442,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street,Kyiv 01601, Ukraine",2016/SBS/07 EPN-Poseidon Sea 2016,2118,2016,Ukraine,Poseidon,Sea Border Sector
2015/444,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/SBS/07 EPN-Poseidon Sea,2452,2015,Ukraine,Poseidon,Sea Border Sector
2015/542,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/LBS/02 Focal Points,6078,2015,Ukraine,Focal Points,Land Borders Sector
2015/703,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/LBS/02 Focal Points,7588,2015,Ukraine,Focal Points,Land Borders Sector
2015/716,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/ABS/03 Focal Points,6345,2015,Ukraine,Focal Points,Air Border Sector
2015/888,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/ABS/04 Focal Points Intermediate Managers,3741,2015,Ukraine,Focal Points,Air Border Sector
2015/889,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601,Ukraine",2015/ABS/06 JO Alexis 2015,6105,2015,Ukraine,Alexis,Air Border Sector
2014/387,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2014/ABS/06 Alexis,6744.21,2014,Ukraine,Alexis,Air Border Sector
2014/546,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2014/LBS/04 Focal Points Land,6148.22,2014,Ukraine,Focal Points,Land Borders Sector
2014/681,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2014/ABS/04 Focal Points,3507.46,2014,Ukraine,Focal Points,Air Border Sector
2013/124,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,5439.88,2013,Ukraine,JO Flexi Force 2013 Mizar Operational Module,Air Border Sector
2013/290,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/SBS/P1/05 EPN-Hermes 2013,2979.95,2013,Ukraine,Hermes,Sea Border Sector
2013/347,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/ABS/06 JO Flexi Force 2013 Mizar Operational Module,6090.44,2013,Ukraine,JO Flexi Force 2013 Mizar Operational Module,Air Border Sector
2013/369,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/LBS/04 JO Focal Points 2013 Land,2685.7,2013,Ukraine,Focal Points,Land Borders Sector
2013/612,SBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/SBS/P1/04 EPN-Minerva,2791.45,2013,Ukraine,Minerva,Sea Border Sector
2013/710,LBS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/LBS/01 JO Jupiter 2013,3859.49,2013,Ukraine,Jupiter,Land Borders Sector
2013/835,ABS,State Border Guard Service Ukraine,"26 Volodymyrska street, Kyiv 01601, Ukraine",2013/ABS/03 JO Focal Points 2013 Air,5736.27,2013,Ukraine,Focal Points,Air Border Sector
2012/326,LBS,State Border Guard Service Ukraine,NA,2012/LBS/03 JO Eurocup 2012,4150,2012,Ukraine,Eurocup,Land Borders Sector
2012/341,ABS,State Border Guard Service Ukraine,NA,2012/ABS/04 PP Flexi Force - Hubble module,54022.42,2012,Ukraine,Hubble,Air Border Sector
2012/444,LBS,State Border Guard Service Ukraine,NA,2012/LBS/04 JO Focal Points 2012,8967,2012,Ukraine,Focal Points,Land Borders Sector
2012/462,SBS,State Border Guard Service Ukraine,NA,2012/SBS/02 JO Poseidon Sea 2012,3931,2012,Ukraine,Poseidon,Sea Border Sector
2012/545,SBS,State Border Guard Service Ukraine,NA,2012/SBS/01 EPN-Minerva 2012,13048.18,2012,Ukraine,Minerva,Sea Border Sector
2012/566,LBS,State Border Guard Service Ukraine,NA,2012/LBS/01 JO Jupiter,5520,2012,Ukraine,Jupiter,Land Borders Sector
2012/780,LBS,State Border Guard Service Ukraine,NA,2012/LBS/04 JO Focal Points 2012,6325.94,2012,Ukraine,Focal Points,Land Borders Sector
2012/904,ABS,State Border Guard Service Ukraine,NA,2012/ABS/03 JO Focal Points 2012,3869.29,2012,Ukraine,Focal Points,Air Border Sector
2011/203/,LBS,State Border Guard Service Ukraine,NA,2011/LBS/07 JO Jupiter 2011-Phase I,8530,2011,Ukraine,Jupiter,Land Borders Sector
2011/291/,LBS,State Border Guard Service Ukraine,NA,2011/LBS/01 JO Focal Points 2011 Land,5238,2011,Ukraine,Focal Points,Land Borders Sector
2011/564/,SBS,State Border Guard Service Ukraine,NA,2011/SBS/01 EPN-Minerva 2011,21732.48,2011,Ukraine,Minerva,Sea Border Sector
2011/634/,LBS,State Border Guard Service Ukraine,NA,2011/LBS/07 JO Jupiter 2011-Phase I,6696,2011,Ukraine,Jupiter,Land Borders Sector
2010/41/,LBS,State Border Guard Service Ukraine,NA,2010/OPS/19 JO Jupiter 2010 I phase,30620.2,2010,Ukraine,Jupiter,Land Borders Sector
2010/176/,LBS,State Border Guard Service Ukraine,NA,2010/OPS/19 JO Jupiter 2010 II phase,24967.28,2010,Ukraine,Jupiter,Land Borders Sector
2010/502/,SBS,State Border Guard Service Ukraine,NA,2010/OPS/17 JO Poseidon 2010 Sea,11407,2010,Ukraine,Poseidon,Sea Border Sector
2010/600/,LBS,State Border Guard Service Ukraine,NA,2010/OPS/21 JO Focal Points Land 2010,7748.8,2010,Ukraine,Focal Points,Land Borders Sector
2010/654/,LBS,State Border Guard Service Ukraine,NA,2010/OPS/19 JO Jupiter 2010 IV phase,15817.03,2010,Ukraine,Jupiter,Land Borders Sector
2009/047/,LBS,State Border Guard Service Ukraine,NA,2009/OPS/03 -Jupiter,24280,2009,Ukraine,Jupiter,Land Borders Sector
2009/295/,LBS,State Border Guard Service Ukraine,NA,2009/OPS/04 - Focal Points 2009,17283.92,2009,Ukraine,Focal Points,Land Borders Sector
2008/164/,LBS,State Border Guard Service Ukraine,NA,2008/OPS/03 Atlas I,5619.23,2008,Ukraine,Atlas I,Land Borders Sector
2008/174/,LBS,State Border Guard Service Ukraine,NA,2008/OPS/03 Atlas II,6236.98,2008,Ukraine,Atlas II,Land Borders Sector
2008/309/,SBS,State Border Guard Service Ukraine,NA,2008/OPS/11 EPN-Euxine,29727,2008,Ukraine,EPN-Euxine,Sea Border Sector
2008/318/,LBS,State Border Guard Service Ukraine,NA,2008/OPS/03 Atlas III,6640,2008,Ukraine,Atlas III,Land Borders Sector
