grant_no,unit_sector,beneficiary,address,project,eur,year,country,project_clean,unit_sector_long
2013/442,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/05 Coordination Points,6456.11,2013,Slovakia,Coordination Points,Land Borders Sector
2013/496,ROS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/ROS/01 Attica,10070.84,2013,Slovakia,Attica,Return Operations Sector
2013/513,PRU,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/PRU/04 Rapid intervention exercise - REX 2013,5245.68,2013,Slovakia,Rapid intervention exercise - REX 2013,Pooled Resources Unit
2013/626,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/04 JO Focal Points 2013 Land,3294,2013,Slovakia,Focal Points,Land Borders Sector
2013/640,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/04 JO Focal Points 2013 Land,7707.21,2013,Slovakia,Focal Points,Land Borders Sector
2013/705,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/01 JO Jupiter 2013,7495.35,2013,Slovakia,Jupiter,Land Borders Sector
2013/751,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/06 JO Poseidon Land,15194,2013,Slovakia,Poseidon,Land Borders Sector
2013/941,ABS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/ABS/03 JO Focal Points 2013 Air,7270.65,2013,Slovakia,Focal Points,Air Border Sector
2013/947,LBS,Bureau of Border and Alien Police,"RuÅ¾inovskÃ¡ 1/B, 812 72 Bratislava, Slovak Republic",2013/LBS/04 JO Focal Points 2013 Land,7140.65,2013,Slovakia,Focal Points,Land Borders Sector
2012/22,FSC,Bureau of Border and Alien Police,NA,2012/FSC/02 - Frontex Support Officers FSC 2012,5337.95,2012,Slovakia,- Frontex Support Officers FSC 2012,Frontex Situation Centre
2012/105,ABS,Bureau of Border and Alien Police,NA,2012/ABS/03 JO Focal Points 2012,6040.4,2012,Slovakia,Focal Points,Air Border Sector
2012/125,LBS,Bureau of Border and Alien Police,NA,2012/LBS/02 JO Neptune 2012,7512.81,2012,Slovakia,Neptune,Land Borders Sector
2012/195,ABS,Bureau of Border and Alien Police,NA,2012/ABS/03 JO Focal Points 2012,6140.2,2012,Slovakia,Focal Points,Air Border Sector
2012/209,LBS,Bureau of Border and Alien Police,NA,2012/LBS/04 JO Focal Points 2012,8246.04,2012,Slovakia,Focal Points,Land Borders Sector
2012/235,ABS,Bureau of Border and Alien Police,NA,2012/ABS/04 PP Flexi Force - Hubble module,4804.6,2012,Slovakia,Hubble,Air Border Sector
2012/308,LBS,Bureau of Border and Alien Police,NA,2012/LBS/06 JO Poseidon Land 2012,11142.69,2012,Slovakia,Poseidon,Land Borders Sector
2012/357,LBS,Bureau of Border and Alien Police,NA,2012/LBS/03 JO Eurocup 2012,10530.78,2012,Slovakia,Eurocup,Land Borders Sector
2012/464,SBS,Bureau of Border and Alien Police,NA,2012/SBS/01 EPN-Indalo 2012,92792.9,2012,Slovakia,Indalo,Sea Border Sector
2012/480,LBS,Bureau of Border and Alien Police,NA,2012/LBS/06 JO Poseidon Land 2012,10813.13,2012,Slovakia,Poseidon,Land Borders Sector
2012/501,LBS,Bureau of Border and Alien Police,NA,2012/LBS/01 JO Jupiter,3257.03,2012,Slovakia,Jupiter,Land Borders Sector
2012/506,LBS,Bureau of Border and Alien Police,NA,2012/LBS/01 JO Jupiter,3903.53,2012,Slovakia,Jupiter,Land Borders Sector
2012/532,LBS,Bureau of Border and Alien Police,NA,2012/LBS/04 JO Focal Points 2012,8750.01,2012,Slovakia,Focal Points,Land Borders Sector
2012/598,SBS,Bureau of Border and Alien Police,NA,2012/SBS/01 EPN-Minerva 2012,5605.56,2012,Slovakia,Minerva,Sea Border Sector
2012/677,LBS,Bureau of Border and Alien Police,NA,2012/LBS/06 JO Poseidon Land 2012,10813.13,2012,Slovakia,Poseidon,Land Borders Sector
2012/751,LBS,Bureau of Border and Alien Police,NA,2012/LBS/04 JO Focal Points 2012,9680.43,2012,Slovakia,Focal Points,Land Borders Sector
2012/824,ABS,Bureau of Border and Alien Police,NA,2012/ABS/03 JO Focal Points 2012,5998.87,2012,Slovakia,Focal Points,Air Border Sector
2012/1056,LBS,Bureau of Border and Alien Police,NA,2012/LBS/06 JO Poseidon Land 2012,83263.07,2012,Slovakia,Poseidon,Land Borders Sector
2010/716/,PRU,Bureau of Border and Alien Police,NA,2010/PRU/09 RABIT 2010,21583.64,2011,Slovakia,RABIT 2010,Pooled Resources Unit
2011/97/,ABS,Border and Alien Police Directorate,NA,2011/ABS/02 HUBBLE 2011,5246.75,2011,Slovakia,Hubble,Air Border Sector
2011/98/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/02 HUBBLE 2011,8974.1,2011,Slovakia,Hubble,Air Border Sector
2011/116/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/11 Air Border Focal Points 2011,11238.25,2011,Slovakia,Focal Points,Air Border Sector
2011/140/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/01 JO Focal Points 2011 Land,6021.15,2011,Slovakia,Focal Points,Land Borders Sector
2011/199/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/01 JO Focal Points 2011 Land,8403.29,2011,Slovakia,Focal Points,Land Borders Sector
2011/207/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/07 JO Jupiter 2011-Phase I,8132.84,2011,Slovakia,Jupiter,Land Borders Sector
2011/224/,SBS,Bureau of Border and Alien Police,NA,2011/SBS/01 EPN-Aeneas 2011,72291.74,2011,Slovakia,Aeneas,Sea Border Sector
2011/251/,ABS,Border and Alien Police Directorate,NA,2011/ABS/03 JO Meteor 2011,5380.1,2011,Slovakia,JO Meteor 2011,Air Border Sector
2011/252/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/03 JO Meteor 2011,5701.1,2011,Slovakia,JO Meteor 2011,Air Border Sector
2011/269/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/11 Air Border Focal Points 2011,5253.6,2011,Slovakia,Focal Points,Air Border Sector
2011/299/,SBS,Bureau of Border and Alien Police,NA,2011/SBS/02 Poseidon Sea 2011,10711,2011,Slovakia,Poseidon,Sea Border Sector
2011/365/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/02 JO Poseidon Land 2011,9872.92,2011,Slovakia,Poseidon,Land Borders Sector
2011/367/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/06 JO Neptune Phase I,5628.36,2011,Slovakia,Neptune,Land Borders Sector
2011/415/,ABS,Border and Alien Police Directorate,NA,2011/ABS/04 MIZAR 2011,6513.42,2011,Slovakia,MIZAR 2011,Air Border Sector
2011/416/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/04 MIZAR 2011,14809.44,2011,Slovakia,MIZAR 2011,Air Border Sector
2011/424/,SBS,Bureau of Border and Alien Police,NA,2011/SBS/01 EPN-Indalo,66726.59,2011,Slovakia,Indalo,Sea Border Sector
2011/489/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/06 JO Neptune Phase I,4156.42,2011,Slovakia,Neptune,Land Borders Sector
2011/502/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/02 JO Poseidon Land 2011,10483.79,2011,Slovakia,Poseidon,Land Borders Sector
2011/583/,SBS,Bureau of Border and Alien Police,NA,2011/SBS/01 EPN-Minerva 2011,7732.94,2011,Slovakia,Minerva,Sea Border Sector
2011/599/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/02 JO Poseidon Land 2011,4173.64,2011,Slovakia,Poseidon,Land Borders Sector
2011/669/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/01 JO Focal Points 2011 Land,5466.31,2011,Slovakia,Focal Points,Land Borders Sector
2011/670/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/07 JO Jupiter 2011-Phase I,9768.65,2011,Slovakia,Jupiter,Land Borders Sector
2011/688/,ABS,Bureau of Border and Alien Police,NA,2011/ABS/11 Air Border Focal Points 2011,5339.25,2011,Slovakia,Focal Points,Air Border Sector
2011/706/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/11 Air Border Focal Points 2011,5259.1,2011,Slovakia,Focal Points,Air Border Sector
2011/717/,ROS,Bureau of Border and Alien Police,NA,2011/ROS/28 JRO to Kosovo,63.4,2011,Slovakia,Return Operations,Return Operations Sector
2011/763/,SBS,Bureau of Border and Alien Police,NA,2011/SBS/02 Poseidon Sea 2011,10414,2011,Slovakia,Poseidon,Sea Border Sector
2011/780/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/02 JO Poseidon Land 2011,10697.79,2011,Slovakia,Poseidon,Land Borders Sector
2011/818/,ABS,Bureau of Border and Alien Police,NA,2011/ABS/01 JO Hammer 2011,5500.16,2011,Slovakia,Hammer,Air Border Sector
2011/819/,ABS,Border and Alien Police Directorate Presov,NA,2011/ABS/01 JO Hammer 2011,8196.6,2011,Slovakia,Hammer,Air Border Sector
2011/880/,LBS,Bureau of Border and Alien Police,NA,2011/LBS/01 JO Focal Points 2011 Land,15754.35,2011,Slovakia,Focal Points,Land Borders Sector
2011/911/,ABS,Border and Alien Police Directorate,NA,2011/ABS/01 JO Hammer 2011,6708.8,2011,Slovakia,Hammer,Air Border Sector
2011/1090/,ROS,Bureau of Border and Alien Police,NA,2011/ROS/44 JRO to Kosovo,416,2011,Slovakia,Return Operations,Return Operations Sector
2010/24/,ROS,Bureau of Border and Alien Police,NA,2010/OPS/24 Joint Return Operation to Kosovo and Albania on 16 February 2010,552.5,2010,Slovakia,Return Operations,Return Operations Sector
2010/27/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/19 JO Jupiter 2010 I phase,32355.25,2010,Slovakia,Jupiter,Land Borders Sector
2010/44/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/19 JO Jupiter 2010 I phase,6853.58,2010,Slovakia,Jupiter,Land Borders Sector
2010/45/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/20 JO Neptune 2010 Phase I,3833.58,2010,Slovakia,Neptune,Land Borders Sector
2010/46/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/20 JO Neptune 2010 Phase III,3833.58,2010,Slovakia,Neptune,Land Borders Sector
2010/201/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/19 JO Jupiter 2010 II phase,43746.26,2010,Slovakia,Jupiter,Land Borders Sector
2010/203/,ABS,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,7090.7,2010,Slovakia,Focal Points,Air Border Sector
2010/222/,LBS,Border and Alien Police Directorate,NA,2010/OPS/19 JO Jupiter 2010 II phase,37377.66,2010,Slovakia,Jupiter,Land Borders Sector
2010/231/,SBS,Border and Alien Police Directorate,NA,2010/OPS/17 JO Poseidon 2010 Sea,62604.47,2010,Slovakia,Poseidon,Sea Border Sector
2010/300/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/22 JO Poseidon Land 2010 Phase II,5156.4,2010,Slovakia,Poseidon,Land Borders Sector
2010/306/,ABS,Border and Alien Police Directorate,NA,2010/OPS/05 JO Hubble 2010,14858.25,2010,Slovakia,Hubble,Air Border Sector
2010/309/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/30 JO MARS-UNITY 2010,4568.68,2010,Slovakia,JO MARS-UNITY 2010,Land Borders Sector
2010/312/,ABS,Border and Alien Police Directorate,NA,2010/OPS/05 JO Hubble 2010,9339.65,2010,Slovakia,Hubble,Air Border Sector
2010/319/,SBS,Bureau of Border and Alien Police,NA,2010/OPS/17 JO Poseidon 2010 Sea,17934.49,2010,Slovakia,Poseidon,Sea Border Sector
2010/386/,SBS,Border and Alien Police Directorate,NA,2010/OPS/10 EPN-Hera 2010,63324.95,2010,Slovakia,Hera,Sea Border Sector
2010/395/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/21 JO Focal Points Land 2010,7388.83,2010,Slovakia,Focal Points,Land Borders Sector
2010/415/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/21 JO Focal Points Land 2010,4073.26,2010,Slovakia,Focal Points,Land Borders Sector
2010/422/,SBS,Bureau of Border and Alien Police,NA,2010/OPS/17 JO Poseidon 2010 Sea,8212.68,2010,Slovakia,Poseidon,Sea Border Sector
2010/444/,ROS,Bureau of Border and Alien Police,NA,2010/OPS/51 JRO to Kosovo and Albania on 11/08/2010,663,2010,Slovakia,Return Operations,Return Operations Sector
2010/474/,SBS,Bureau of Border and Alien Police,NA,2010/OPS/10 EPN-Hermes 2010,53574.92,2010,Slovakia,Hermes,Sea Border Sector
2010/496/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/19 JO Jupiter 2010 III phase,12893.05,2010,Slovakia,Jupiter,Land Borders Sector
2010/527/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/22 JO Poseidon Land 2010 Phase III,7713.46,2010,Slovakia,Poseidon,Land Borders Sector
2010/557/,ABS,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,7075.65,2010,Slovakia,Focal Points,Air Border Sector
2010/558/,ABS,Border and Alien Police Directorate,NA,2010/OPS/09 Air Border Focal Points 2010,6599.5,2010,Slovakia,Focal Points,Air Border Sector
2010/562/,SBS,Border and Alien Police Directorate,NA,2010/OPS/17 JO Poseidon 2010 Sea,9760,2010,Slovakia,Poseidon,Sea Border Sector
2010/574/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/22 JO Poseidon Land 2010 Phase III,5100.2,2010,Slovakia,Poseidon,Land Borders Sector
2010/579/,ABS,Bureau of Border and Alien Police,NA,2010/OPS/09 Air Border Focal Points 2010,4196.15,2010,Slovakia,Focal Points,Air Border Sector
2010/644/,ABS,Bureau of Border and Alien Police,NA,2010/OPS/06 JO Meteor,2534.07,2010,Slovakia,JO Meteor,Air Border Sector
2010/680/,ABS,Border and Alien Police Directorate Presov,NA,2010/OPS/09 Air Border Focal Points 2010,2914.8,2010,Slovakia,Focal Points,Air Border Sector
2010/691/,LBS,Bureau of Border and Alien Police,NA,2010/OPS/19 JO Jupiter 2010 IV phase,37063.02,2010,Slovakia,Jupiter,Land Borders Sector
2010/716/,PRU,Bureau of Border and Alien Police,NA,2010/PRU/09 RABIT 2010,32612.92,2010,Slovakia,RABIT 2010,Pooled Resources Unit
2010/748/,PRU,Bureau of Border and Alien Police,NA,2010/PRU/09 RABIT 2010,63919.95,2010,Slovakia,RABIT 2010,Pooled Resources Unit
2009/033/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/04 - Focal Points 2009,16421.48,2009,Slovakia,Focal Points,Land Borders Sector
2009/044/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/03 -Jupiter,43705.08,2009,Slovakia,Jupiter,Land Borders Sector
2009/085/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/05 - Neptune,22019.75,2009,Slovakia,Neptune,Land Borders Sector
2009/118/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/09 - Saturn,65119.19,2009,Slovakia,Saturn,Land Borders Sector
2009/143/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/06 - Uranus,23816.59,2009,Slovakia,Uranus,Land Borders Sector
2009/197/,ROS,Bureau of Border and Alien Police,NA,2009/OPS/37 - JRO-NGA,5787.5,2009,Slovakia,Return Operations,Return Operations Sector
2009/212/,SBS,Bureau of Border and Alien Police,NA,2009/OPS/17 - Poseidon 2009,65393.09,2009,Slovakia,Poseidon,Sea Border Sector
2009/223/,ABS,Bureau of Border and Alien Police,NA,2009/OPS/22 - Hubble,17740.5,2009,Slovakia,Hubble,Air Border Sector
2009/321/,SBS,Bureau of Border and Alien Police,NA,2009/OPS/10 - EPN-Hermes 2009,31173,2009,Slovakia,Hermes,Sea Border Sector
2009/330/,ABS,Bureau of Border and Alien Police,NA,2009/OPS/21 - Hammer 2009,14901.4,2009,Slovakia,Hammer,Air Border Sector
2009/388/,ABS,Bureau of Border and Alien Police,NA,2009/OPS/21 - Hammer 2009,14901.4,2009,Slovakia,Hammer,Air Border Sector
2009/447,ABS,Bureau of Border and Alien Police,NA,2009/OPS/21 - Hammer 2009,13006.75,2009,Slovakia,Hammer,Air Border Sector
2009/448,ABS,Bureau of Border and Alien Police,NA,2009/OPS/21 - Hammer 2009,13541.75,2009,Slovakia,Hammer,Air Border Sector
2009/462/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/04 - Focal Points 2009,196731.69,2009,Slovakia,Focal Points,Land Borders Sector
2009/467/,LBS,Bureau of Border and Alien Police,NA,2009/OPS/04 - Focal Points 2009,105630.23,2009,Slovakia,Focal Points,Land Borders Sector
2008/016/,LBS,Ministry of Interior Economical Section,NA,2008/OPS/03 Atlas I,8746.94,2008,Slovakia,Atlas I,Land Borders Sector
2008/028/,ABS,Ministry of Interior Slovakia,NA,2008/OPS/08/Zarathustra,6705.84,2008,Slovakia,2008/OPS/08/Zarathustra,Air Border Sector
2008/074/,LBS,Border and Alien Police Directorate,NA,2008/OPS/02/Ariadne 2008,3361.7,2008,Slovakia,2008,Land Borders Sector
2008/081/,LBS,Border and Alien Police Directorate,NA,2008/OPS/06-Gordius,20238.91,2008,Slovakia,2008/OPS/06-Gordius,Land Borders Sector
2008/096/,ABS,Ministry of Interior Slovakia,NA,2008/OPS/18 Zorba,5878.83,2008,Slovakia,Zorba,Air Border Sector
2008/187/,LBS,Border and Alien Police Directorate,NA,2008/OPS/03 Atlas II,514.5,2008,Slovakia,Atlas II,Land Borders Sector
2008/243/,LBS,Border and Alien Police Directorate,NA,2008/OPS/06-Gordius 2nd phase,19437.48,2008,Slovakia,2nd phase,Land Borders Sector
2008/251/,LBS,Border and Alien Police Directorate,NA,2008/OPS/03 Atlas II,8298.43,2008,Slovakia,Atlas II,Land Borders Sector
2008/294/,ABS,Bureau of Border and Alien Police,NA,2008/OPS/27 Hammer,13011.1,2008,Slovakia,Hammer,Air Border Sector
2008/317/,LBS,Border and Alien Police Directorate,NA,2008/OPS/03 Atlas III,4565.84,2008,Slovakia,Atlas III,Land Borders Sector
2008/334/,PRS,Bureau of Border and Alien Police,NA,2008/PRS/03-DACIA 2008,15862.44,2008,Slovakia,2008,Public Regulated Service
2008/367/,ROS,Ministry of Interior Slovakia,NA,2008/OPS/36 JRO-NGA-GMB,539.84,2008,Slovakia,Return Operations,Return Operations Sector
2008/385/,ABS,Bureau of Border and Alien Police,NA,2008/OPS/27 Hammer 2008,11748,2008,Slovakia,Hammer,Air Border Sector
2008/396/,LBS,Bureau of Border and Alien Police,NA,2008/OPS/41 Long overstayers 2008,9495.57,2008,Slovakia,Long overstayers 2008,Land Borders Sector
